InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue,Year,Month,MonthName,YearMonth,IsCancelled,IsValidSale,CustomerID_Status
555150,22762,CUPBOARD 3 DRAWER MA CAMPAGNE,1,2011-05-31 15:53:00,29.17,,United Kingdom,29.17,2011,5,May,2011-05,0,1,Missing
575477,22645,CERAMIC HEART FAIRY CAKE MONEY BANK,1,2011-11-09 16:14:00,3.29,,United Kingdom,3.29,2011,11,Nov,2011-11,0,1,Missing
538177,84596E,SMALL LICORICE DES PINK BOWL,1,2010-12-10 09:51:00,2.51,,United Kingdom,2.51,2010,12,Dec,2010-12,0,1,Missing
575930,23378,PACK OF 12 50'S CHRISTMAS TISSUES,1,2011-11-11 17:58:00,0.83,,United Kingdom,0.83,2011,11,Nov,2011-11,0,1,Missing
546890,22084,PAPER CHAIN KIT EMPIRE,6,2011-03-17 18:18:00,2.95,13394.0,United Kingdom,17.700000000000003,2011,3,Mar,2011-03,0,1,Present
557761,22708,WRAP DOLLY GIRL,25,2011-06-22 13:59:00,0.42,14214.0,United Kingdom,10.5,2011,6,Jun,2011-06,0,1,Present
551862,84946,ANTIQUE SILVER T-LIGHT GLASS,6,2011-05-04 16:07:00,1.25,17384.0,United Kingdom,7.5,2011,5,May,2011-05,0,1,Present
575491,22306,SILVER MUG BONE CHINA TREE OF LIFE,6,2011-11-09 17:47:00,1.06,15531.0,United Kingdom,6.36,2011,11,Nov,2011-11,0,1,Present
580283,23578,SNACK TRAY RED GINGHAM,8,2011-12-02 13:20:00,1.95,16133.0,United Kingdom,15.6,2011,12,Dec,2011-12,0,1,Present
537418,21187,WHITE BELL HONEYCOMB PAPER GARLAND ,4,2010-12-06 15:13:00,1.65,17884.0,United Kingdom,6.6,2010,12,Dec,2010-12,0,1,Present
572657,23344,JUMBO BAG 50'S CHRISTMAS ,50,2011-10-25 12:27:00,2.08,15615.0,United Kingdom,104.0,2011,10,Oct,2011-10,0,1,Present
537041,35810B,ENAMEL BLUE RIM COFFEE CONTAINER,1,2010-12-05 10:36:00,2.1,16033.0,United Kingdom,2.1,2010,12,Dec,2010-12,0,1,Present
